PIN,Address,Sq. Ft.,Ward,Community Area Name,Zoning Classification,Location
20-20-401-029-0000,6715 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77188486, -87.65222315)"
20-20-323-040-0000,6908 S RACINE AVE,13787,6,WEST ENGLEWOOD,B1-1,"(41.76826565, -87.65455391)"
20-29-213-003-0000,7205 S SANGAMON ST,3125,6,ENGLEWOOD,RS-3,"(41.76307154, -87.64765015)"
20-16-200-028-0000,5542 S SHIELDS AVE,0,3,ENGLEWOOD,RS-3,"(41.79326551, -87.63452977)"
20-16-125-002-0000,439 W 58TH ST,0,20,ENGLEWOOD,M1-1,"(41.78875353, -87.63704505)"
20-16-116-010-0000,519 W 57TH ST,0,20,ENGLEWOOD,RS-3,"(41.79051942, -87.63861593)"
20-20-221-046-0000,6558 S PEORIA ST,0,6,ENGLEWOOD,RS-3,"(41.77439584, -87.64742766)"
20-21-114-002-0000,6405 S EGGLESTON AVE,0,20,ENGLEWOOD,RT-4,"(41.77781501, -87.635958)"
20-28-122-013-0000,7444 S PARNELL AVE,0,6,ENGLEWOOD,RS-3,"(41.75848189, -87.63875532)"
20-20-222-028-0000,6518 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.77548595, -87.64624146)"
20-20-420-005-0000,933 W 69TH ST,0,6,ENGLEWOOD,RM-5,"(41.76853205, -87.64879695)"
20-17-423-073-0000,807 W 61ST ST,0,16,ENGLEWOOD,B2-2,"(41.78309076, -87.64519915)"
20-29-215-008-0000,7221 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.76269879, -87.6452188)"
20-28-123-006-0000,7421 S PARNELL AVE,0,6,ENGLEWOOD,RS-3,"(41.75915132, -87.63804148)"
20-17-425-004-0000,6209 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78105047, -87.65297811)"
20-20-201-013-0000,6325 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.77884786, -87.65292123)"
20-20-205-018-0000,6353 S SANGAMON ST,0,16,ENGLEWOOD,RT-4,"(41.77810205, -87.64824022)"
20-21-308-028-0000,622 W 69TH ST,0,6,ENGLEWOOD,B3-2,"(41.76912565, -87.64072241)"
20-16-114-021-0000,5751 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.78921357, -87.64224372)"
20-20-411-020-0000,6851 S CARPENTER ST,0,6,ENGLEWOOD,RS-3,"(41.76908285, -87.65023675)"
20-21-125-054-0000,6625 S UNION AVE,0,6,ENGLEWOOD,RT-4,"(41.77348219, -87.64229926)"
20-20-417-006-0000,6915 S MAY ST,0,6,ENGLEWOOD,RS-3,"(41.76824752, -87.65264181)"
20-17-213-015-0000,5645 S SANGAMON ST,0,16,ENGLEWOOD,RS-3,"(41.7911018, -87.64836665)"
20-29-215-041-0000,7248 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76195188, -87.64470131)"
20-16-111-039-0000,412 W 57TH ST,0,20,ENGLEWOOD,RS-3,"(41.79108251, -87.63605743)"
20-29-202-029-0000,7116 S CARPENTER ST,0,6,ENGLEWOOD,RS-3,"(41.76456927, -87.65081384)"
20-20-421-004-0000,907 W 69TH ST,0,6,ENGLEWOOD,RM-5,"(41.76855445, -87.64731055)"
20-20-202-014-0000,6333 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77865924, -87.65170282)"
20-20-415-029-0000,6816 S HALSTED ST,0,6,ENGLEWOOD,B3-2,"(41.76998981, -87.6449021)"
20-21-113-028-0000,6430 S EGGLESTON AVE,0,20,ENGLEWOOD,RT-4,"(41.77707305, -87.63658923)"
20-20-227-023-0000,6612 S MORGAN ST,,6,ENGLEWOOD,RS-3,"(41.77379058, -87.6496376)"
20-29-228-027-0000,7422 S PEORIA ST,0,17,ENGLEWOOD,RS-3,"(41.75894095, -87.64702893)"
20-17-406-009-0000,5919 S PEORIA ST,3125,16,ENGLEWOOD,RS-3,"(41.78632519, -87.64703157)"
20-16-117-003-0000,5707 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.79049522, -87.63747563)"
20-20-218-018-0000,6543 S ABERDEEN ST,3125,6,ENGLEWOOD,RS-3,"(41.77471987, -87.65159883)"
20-17-415-031-0000,6050 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78370897, -87.64525049)"
20-16-312-028-0000,428 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78466268, -87.63642936)"
20-21-118-004-0000,6502 S PARNELL AVE,4527,20,ENGLEWOOD,RM-5,"(41.77594024, -87.63916338)"
20-20-419-001-0000,1025 W 69TH ST,0,6,ENGLEWOOD,RS-3,"(41.76850777, -87.65040665)"
20-21-325-004-0000,7014 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.76656881, -87.63873969)"
20-28-100-011-0000,7135 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76419797, -87.6440064)"
20-17-415-022-0000,6016 S HALSTED ST,0,16,ENGLEWOOD,PD 1206,"(41.78466098, -87.64527496)"
20-16-309-014-0000,621 W 60TH ST,4399,20,ENGLEWOOD,RS-3,"(41.78437774, -87.64092574)"
20-21-302-016-0000,6747 S UNION AVE,0,6,ENGLEWOOD,RT-4,"(41.77116034, -87.64130272)"
20-16-300-020-0000,5961 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78525062, -87.64453617)"
20-16-302-017-0000,5944 S WALLACE ST,0,20,ENGLEWOOD,M1-2,"(41.78568562, -87.64045405)"
20-20-401-012-0000,6727 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.7714739, -87.65272665)"
20-29-216-009-0000,7325 S RACINE AVE,0,17,ENGLEWOOD,B1-1,"(41.76068229, -87.65365727)"
20-16-119-002-0000,5735 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.78961149, -87.63741317)"
20-17-407-020-0000,5900 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78683302, -87.64533041)"
20-21-112-009-0000,6421 S PARNELL AVE,0,20,ENGLEWOOD,RT-4,"(41.77737035, -87.63831916)"
20-17-424-039-0000,1134 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.77988613, -87.65349357)"
20-21-328-036-0000,7052 S STEWART AVE,0,6,ENGLEWOOD,RT-4,"(41.76560487, -87.63505275)"
20-20-202-011-0000,6321 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77886511, -87.65170828)"
20-20-219-031-0000,6522 S MORGAN ST,0,6,ENGLEWOOD,RS-3,"(41.77522406, -87.64987763)"
20-16-415-004-0000,6107 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78322147, -87.63479692)"
20-20-413-023-0000,914 W 69TH ST,0,6,ENGLEWOOD,RS-3,"(41.76898345, -87.64762031)"
20-20-202-026-0000,6326 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.77887243, -87.65119235)"
20-21-129-009-0000,425 W 66TH ST,5836,6,ENGLEWOOD,RT-4,"(41.77413829, -87.63600104)"
20-17-407-023-0000,5916 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78648804, -87.64532159)"
20-17-212-008-0000,5621 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.79175741, -87.6496022)"
20-28-106-024-0000,7128 S EGGLESTON AVE,0,6,ENGLEWOOD,RT-4,"(41.76446707, -87.63621417)"
20-20-228-012-0000,6631 S MORGAN ST,3125,6,ENGLEWOOD,RS-3,"(41.77328025, -87.64912783)"
20-16-405-001-0000,5901 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.7871817, -87.62870701)"
20-21-319-003-0000,6909 S NORMAL BLVD,0,6,ENGLEWOOD,B3-2,"(41.76852939, -87.63687717)"
20-16-308-010-0000,735 W 60TH PL,0,16,ENGLEWOOD,RS-3,"(41.7840022, -87.64391158)"
20-16-325-003-0000,547 W ENGLEWOOD AVE,0,20,ENGLEWOOD,RS-3,"(41.78050886, -87.63933879)"
20-16-315-029-0000,643 W 61ST ST,0,16,ENGLEWOOD,RS-3,"(41.78317851, -87.64168306)"
20-16-404-013-0000,5941 S WENTWORTH AVE,0,20,ENGLEWOOD,C1-1,"(41.78607162, -87.62995358)"
20-16-202-039-0000,5655 S PRINCETON AVE,0,3,ENGLEWOOD,RS-3,"(41.79107307, -87.63256506)"
20-16-402-022-0000,330 W 60TH ST,6217,20,ENGLEWOOD,RS-3,"(41.78565409, -87.63403747)"
20-29-204-037-0000,7134 S SANGAMON ST,3125,6,ENGLEWOOD,RS-3,"(41.76408242, -87.64837488)"
20-28-108-017-0000,7247 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76203357, -87.64395391)"
20-16-319-020-0000,546 W 62ND ST,0,20,ENGLEWOOD,RS-3,"(41.78195605, -87.63936597)"
20-16-318-027-0000,715 W 61ST PL,0,16,ENGLEWOOD,RS-3,"(41.78239225, -87.64347232)"
20-21-310-031-0000,6830 S NORMAL BLVD,0,6,ENGLEWOOD,RT-4,"(41.76979353, -87.6376487)"
20-17-417-010-0000,6119 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78268845, -87.65301947)"
20-20-224-034-0000,1151 W MARQUETTE RD,0,16,ENGLEWOOD,B3-1,"(41.77259852, -87.6539633)"
20-17-428-022-0000,6212 S SANGAMON ST,0,16,ENGLEWOOD,RS-3,"(41.7807077, -87.6488044)"
20-20-214-008-0000,6423 S PEORIA ST,0,16,ENGLEWOOD,RT-4,"(41.77719253, -87.64679906)"
20-16-315-103-0000,6119 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78278408, -87.64440423)"
20-16-402-016-0000,352 W 60TH ST,0,20,ENGLEWOOD,RS-3,"(41.78565055, -87.63488907)"
20-17-411-024-0000,6000 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.78500339, -87.65013152)"
20-21-127-002-0000,6609 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.77403389, -87.63844269)"
20-29-222-028-0000,7312 S GREEN ST,3125,17,ENGLEWOOD,RS-3,"(41.76107298, -87.64586867)"
20-21-116-012-0000,6523 S EMERALD AVE,0,20,ENGLEWOOD,RT-4,"(41.77539563, -87.64340612)"
20-21-324-026-0000,7018 S WALLACE ST,0,6,ENGLEWOOD,RS-3,"(41.76641304, -87.63991634)"
20-16-114-031-0000,5718 S LOWE AVE,0,20,ENGLEWOOD,RS-3,"(41.79011651, -87.64174988)"
20-17-404-019-0000,5943 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.78567477, -87.64944881)"
20-17-414-030-0000,6022 S GREEN ST,0,16,ENGLEWOOD,PD 1206,"(41.78451533, -87.64647128)"
20-21-310-008-0000,6823 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.770002, -87.63828992)"
20-20-219-029-0000,6518 S MORGAN ST,0,6,ENGLEWOOD,RS-3,"(41.77536128, -87.64988116)"
20-16-402-025-0000,318 W 60TH ST,0,20,ENGLEWOOD,RS-3,"(41.78566155, -87.63362504)"
20-16-212-019-0000,5726 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.7900392, -87.62933324)"
20-16-100-073-0000,5659 S HALSTED ST,0,20,ENGLEWOOD,C1-2,"(41.79079897, -87.64470068)"
20-21-118-003-0000,6500 S PARNELL AVE,0,20,ENGLEWOOD,RM-5,"(41.77604639, -87.63916618)"
20-29-215-043-0000,7252 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76181468, -87.64469784)"
20-21-400-001-0000,6707 S STEWART AVE,0,6,ENGLEWOOD,RT-4,"(41.7724784, -87.63443481)"
20-17-202-010-0000,5523 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.79313199, -87.65207602)"
20-20-420-001-0000,945 W 69TH ST,0,6,ENGLEWOOD,RM-5,"(41.76852842, -87.64903891)"
20-20-415-028-0000,6814 S HALSTED ST,0,6,ENGLEWOOD,B3-2,"(41.77012791, -87.64490565)"
20-16-402-023-0000,326 W 60TH ST,4603,20,ENGLEWOOD,RS-3,"(41.78565699, -87.63387805)"
20-17-211-033-0000,5626 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.79165246, -87.65030171)"
20-17-221-012-0000,5735 S SANGAMON ST,0,16,ENGLEWOOD,RS-3,"(41.78953243, -87.64832598)"
20-21-308-004-0000,6817 S UNION AVE,0,6,ENGLEWOOD,RT-4,"(41.77014343, -87.64127541)"
20-21-323-027-0000,7012 S LOWE AVE,0,6,ENGLEWOOD,RS-3,"(41.76660025, -87.64112918)"
20-20-400-012-0000,6727 S RACINE AVE,0,16,ENGLEWOOD,RS-3,"(41.77149102, -87.65394435)"
20-20-416-003-0000,6913 S RACINE AVE,3125,6,ENGLEWOOD,C1-1,"(41.76822769, -87.6538553)"
20-21-300-025-0000,751 W MARQUETTE RD,0,6,ENGLEWOOD,B1-2,"(41.77236388, -87.64452682)"
20-17-229-015-0000,5804 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.7886134, -87.64778837)"
20-17-402-023-0000,5945 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78559214, -87.65188116)"
20-16-305-023-0000,423 W 59TH ST,0,20,ENGLEWOOD,RS-3,"(41.78706322, -87.63641285)"
20-16-126-002-0000,547 W 58TH PL,0,20,ENGLEWOOD,M1-2,"(41.78871415, -87.63926171)"
20-17-417-019-0000,6141 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78207089, -87.65300387)"
20-20-407-045-0000,6758 S HALSTED ST,0,6,ENGLEWOOD,B3-2,"(41.77080166, -87.64487683)"
20-17-222-003-0000,5709 S PEORIA ST,3906,16,ENGLEWOOD,RS-3,"(41.79028644, -87.64713408)"
20-16-415-009-0000,6123 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78282896, -87.63486388)"
20-17-415-004-0000,6019 S GREEN ST,0,16,ENGLEWOOD,PD 1206,"(41.78451639, -87.64577271)"
20-16-200-048-0000,5546 S SHIELDS AVE,0,3,ENGLEWOOD,RS-3,"(41.79313247, -87.63452614)"
20-20-410-039-0000,1040 W 69TH ST,0,16,ENGLEWOOD,RS-3,"(41.76896738, -87.65102556)"
20-20-410-030-0000,6830 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.76962159, -87.65095022)"
20-16-315-106-0000,6125 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78265023, -87.64448905)"
20-21-215-015-0000,6528 S YALE AVE,0,20,ENGLEWOOD,RT-4,"(41.77379381, -87.6321146)"
20-29-209-003-0000,7205 S MAY ST,0,6,ENGLEWOOD,RS-3,"(41.76300111, -87.65250254)"
20-17-203-024-0000,5526 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.79302223, -87.65013386)"
20-16-100-059-0000,5624 S EMERALD AVE,0,20,ENGLEWOOD,RS-3,"(41.79170066, -87.64421959)"
20-16-300-008-0000,5919 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78643258, -87.64460708)"
20-20-415-009-0000,6819 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.77005328, -87.6454059)"
20-20-209-002-0000,6407 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.77748304, -87.65288469)"
20-16-404-012-0000,5939 S WENTWORTH AVE,0,20,ENGLEWOOD,C1-1,"(41.78614021, -87.62995546)"
20-20-404-035-0000,6738 S SANGAMON ST,3138,6,ENGLEWOOD,RS-3,"(41.7712524, -87.64856069)"
20-28-302-026-0000,7548 S LOWE AVE,0,6,ENGLEWOOD,POS-2,"(41.75649547, -87.6408809)"
20-16-300-009-0000,5919 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78643258, -87.64460708)"
20-16-318-092-0000,611 W 61ST PL,0,16,ENGLEWOOD,RS-3,"(41.7823549, -87.64051861)"
20-21-116-041-0000,743 W 65TH ST,0,20,ENGLEWOOD,B3-2,"(41.77590041, -87.64347012)"
20-20-203-036-0000,6344 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.77834073, -87.64995752)"
20-16-120-008-0000,5839 S HALSTED ST,0,20,ENGLEWOOD,M1-2,"(41.78766005, -87.64460395)"
20-28-110-012-0000,7235 S UNION AVE,0,6,ENGLEWOOD,RS-3,"(41.7623535, -87.64104334)"
20-17-415-021-0000,6014 S HALSTED ST,0,16,ENGLEWOOD,PD 1206,"(41.78472904, -87.64527671)"
20-17-401-012-0000,5913 S MAY ST,0,16,ENGLEWOOD,B3-1,"(41.78647372, -87.65331872)"
20-16-418-007-0000,6159 S PRINCETON AVE,0,20,ENGLEWOOD,RS-3,"(41.78177666, -87.63241943)"
20-20-201-049-0000,1110 W 64TH ST,0,16,ENGLEWOOD,RS-3,"(41.77798666, -87.65252919)"
20-21-129-010-0000,421 W 66TH ST,6631,6,ENGLEWOOD,RT-4,"(41.77414025, -87.63582877)"
20-16-311-007-0000,521 W 60TH ST,0,20,ENGLEWOOD,RS-3,"(41.78500554, -87.63857856)"
20-17-219-043-0000,5750 S MORGAN ST,3132,16,ENGLEWOOD,RS-3,"(41.78909958, -87.65023515)"
20-16-301-062-0000,638 W 60TH ST,0,20,ENGLEWOOD,RS-3,"(41.78491056, -87.64159575)"
20-16-112-028-0000,5724 S EMERALD AVE,0,20,ENGLEWOOD,RS-3,"(41.78982958, -87.644169)"
20-16-409-004-0000,349 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78420867, -87.6346489)"
20-21-400-019-0000,263 W MARQUETTE RD,0,6,ENGLEWOOD,RT-4,"(41.77234274, -87.63270309)"
20-17-415-003-0000,6017 S GREEN ST,0,16,ENGLEWOOD,PD 1206,"(41.78458501, -87.64577447)"
20-17-423-058-0000,806 W 63RD ST,0,16,ENGLEWOOD,PD 1227,"(41.78252312, -87.64526916)"
20-20-420-004-0000,935 W 69TH ST,0,6,ENGLEWOOD,RM-5,"(41.76853205, -87.64879695)"
20-16-415-012-0000,6125 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78277275, -87.63486237)"
20-20-406-025-0000,6708 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.77210931, -87.64615878)"
20-17-202-013-0000,5529 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.79292613, -87.65207056)"
20-17-218-024-0000,5759 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.788944, -87.65216504)"
20-21-125-034-0000,6636 S LOWE AVE,0,6,ENGLEWOOD,RT-4,"(41.77315609, -87.64119439)"
20-20-421-029-0000,6948 S PEORIA ST,0,6,ENGLEWOOD,RT-4,"(41.7672355, -87.64724897)"
20-20-211-033-0000,6428 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.77697401, -87.64992253)"
20-16-300-023-0000,739 W 59TH ST,0,16,ENGLEWOOD,B2-2,"(41.78680118, -87.64416531)"
20-29-216-008-0000,7321 S RACINE AVE,0,17,ENGLEWOOD,B1-1,"(41.76075063, -87.65365886)"
20-17-228-028-0000,944 W 59TH ST,0,16,ENGLEWOOD,B3-1,"(41.78722841, -87.64925112)"
20-16-127-010-0000,436 W 59TH ST,0,20,ENGLEWOOD,RS-3,"(41.78743388, -87.63687431)"
20-20-205-030-0000,6352 S PEORIA ST,0,16,ENGLEWOOD,RT-4,"(41.77816532, -87.64752331)"
20-21-112-006-0000,6415 S PARNELL AVE,0,20,ENGLEWOOD,RT-4,"(41.77753499, -87.63832385)"
20-20-200-027-0000,6320 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.77897521, -87.65362441)"
20-28-116-001-0000,7303 S LOWE AVE,0,6,ENGLEWOOD,RS-3,"(41.76137354, -87.6403106)"
20-20-217-036-0000,6534 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77498478, -87.65230411)"
20-17-209-043-0000,5650 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.79088829, -87.65271527)"
20-16-307-002-0000,6011 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78464347, -87.6445364)"
20-28-100-009-0000,7125 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.7644037, -87.64401141)"
20-17-424-033-0000,1152 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.7797219, -87.65419218)"
20-17-402-048-0000,5910 S CARPENTER ST,0,16,ENGLEWOOD,B3-1,"(41.78655405, -87.65123465)"
20-20-430-027-0000,7044 S GREEN ST,0,6,ENGLEWOOD,RT-4,"(41.76569828, -87.64599834)"
20-17-426-013-0000,6235 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78043208, -87.65174786)"
20-17-424-029-0000,6238 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78026998, -87.65365791)"
20-21-125-009-0000,649 W 66TH ST,0,6,ENGLEWOOD,RT-4,"(41.77405515, -87.64161917)"
20-16-112-012-0000,5739 S HALSTED ST,2973,20,ENGLEWOOD,C1-2,"(41.78950845, -87.64466763)"
20-16-315-060-0000,646 W 61ST PL,3148,16,ENGLEWOOD,RS-3,"(41.78279365, -87.64183825)"
20-29-132-060-0000,7420 S RACINE AVE,0,17,WEST ENGLEWOOD,B1-1,"(41.75889713, -87.65430897)"
20-16-113-028-0000,5724 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.78991529, -87.64296184)"
20-29-201-034-0000,7136 S ABERDEEN ST,0,6,ENGLEWOOD,RS-3,"(41.7640782, -87.65201216)"
20-16-300-058-0000,701 W 59TH ST,0,20,ENGLEWOOD,RS-3,"(41.78682879, -87.64275338)"
20-21-400-041-0000,6735 S STEWART AVE,0,6,ENGLEWOOD,RT-4,"(41.77178523, -87.63466184)"
20-21-121-011-0000,6521 S NORMAL BLVD,0,20,ENGLEWOOD,RT-4,"(41.77544207, -87.63659138)"
20-16-107-043-0000,404 W TREMONT ST,0,20,ENGLEWOOD,RS-3,"(41.79243096, -87.63581867)"
20-29-205-033-0000,7122 S PEORIA ST,0,6,ENGLEWOOD,RS-3,"(41.76437489, -87.64716665)"
20-29-214-038-0000,7236 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.76227632, -87.64589875)"
20-20-415-019-0000,6843 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.76936436, -87.64538865)"
