PIN,Address,Sq. Ft.,Ward,Community Area Name,Zoning Classification,Location
20-20-408-009-0000,6821 S RACINE AVE,0,16,ENGLEWOOD,RS-3,"(41.76986013, -87.65409664)"
20-18-425-017-0000,6243 S WINCHESTER AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77986049, -87.67236289)"
20-18-409-012-0000,6029 S WINCHESTER AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78394007, -87.6726672)"
20-17-305-018-0000,5935 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78577834, -87.65795578)"
20-18-211-020-0000,5659 S HONORE ST,3596,15,WEST ENGLEWOOD,RS-3,"(41.79045036, -87.67021788)"
20-17-128-015-0000,1342 W 59TH ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78710307, -87.65883982)"
20-18-426-036-0000,1852 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77963477, -87.67118226)"
20-18-427-024-0000,6214 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78070573, -87.66944708)"
20-20-329-015-0000,7039 S ADA ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76562108, -87.6574222)"
20-17-116-013-0000,5731 S ASHLAND AVE,0,16,WEST ENGLEWOOD,PD 1142,"(41.78924358, -87.66407428)"
20-20-323-040-0000,6908 S RACINE AVE,13787,6,WEST ENGLEWOOD,B1-1,"(41.76826565, -87.65455391)"
20-19-229-002-0000,6603 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77375459, -87.66739083)"
20-19-412-043-0000,1740 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76876247, -87.66813096)"
20-17-114-022-0000,5653 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79075666, -87.65687126)"
20-17-320-018-0000,6131 S LOOMIS BLVD,2906,16,WEST ENGLEWOOD,RS-3,"(41.78220682, -87.65909742)"
20-20-307-004-0000,6737 S ELIZABETH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.77124148, -87.65514868)"
20-20-116-001-0000,6601 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.77381736, -87.66367914)"
20-20-306-038-0000,6748 S ELIZABETH ST,4659,17,WEST ENGLEWOOD,RS-3,"(41.77090575, -87.65583651)"
20-19-202-001-0000,1857 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.7790541, -87.67133112)"
20-18-212-015-0000,5639 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.79100302, -87.66902399)"
20-18-219-007-0000,5719 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78969817, -87.67019824)"
20-20-330-026-0000,7006 S ELIZABETH ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76658948, -87.65572021)"
20-19-200-004-0000,1947 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77902453, -87.67339017)"
20-19-406-025-0000,6757 S PAULINA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77054046, -87.66605187)"
20-18-215-015-0000,5637 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.79104881, -87.66539137)"
20-20-111-011-0000,6425 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77690453, -87.66015449)"
20-17-330-004-0000,6209 S ADA ST,0,16,WEST ENGLEWOOD,RT-4,"(41.78096941, -87.65790411)"
20-17-116-003-0000,5711 S ASHLAND AVE,0,16,WEST ENGLEWOOD,PD 1142,"(41.78996378, -87.66409205)"
20-19-129-025-0000,6608 S DAMEN AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77355739, -87.67410607)"
20-19-420-007-0000,1741 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.7682404, -87.66793369)"
20-17-302-001-0000,5901 S LAFLIN ST,0,16,WEST ENGLEWOOD,C1-1,"(41.78652887, -87.66163866)"
20-17-327-029-0000,6234 S BISHOP ST,3163,16,WEST ENGLEWOOD,RS-3,"(41.78025363, -87.6609422)"
20-19-418-007-0000,1843 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76821284, -87.6705056)"
20-17-332-029-0000,1222 W 63RD ST,0,16,WEST ENGLEWOOD,C1-2,"(41.77985504, -87.65551949)"
20-18-124-001-0000,5820 S SEELEY AVE,0,15,WEST ENGLEWOOD,M2-2,"(41.7880313, -87.675965)"
20-18-226-027-0000,5836 S HONORE ST,0,15,WEST ENGLEWOOD,C2-1,"(41.78738421, -87.67083507)"
20-18-410-033-0000,6022 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78411057, -87.6707486)"
20-17-320-008-0000,1339 W 61ST ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78293613, -87.6586414)"
20-17-122-018-0000,5741 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78927975, -87.65683226)"
20-17-305-004-0000,1317 W 59TH ST,0,16,WEST ENGLEWOOD,C1-1,"(41.78658153, -87.65785564)"
20-19-411-043-0000,1806 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76875127, -87.66917989)"
20-19-220-033-0000,6540 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77453756, -87.66810615)"
20-17-126-033-0000,1436 W 59TH ST,0,16,WEST ENGLEWOOD,M1-1,"(41.7870468, -87.66101225)"
20-19-422-006-0000,1645 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76826456, -87.66568721)"
20-18-229-003-0000,5809 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78820121, -87.66773405)"
20-18-210-001-0000,5601 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.79199532, -87.67147471)"
20-18-228-010-0000,5804 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78832912, -87.66843602)"
20-17-327-033-0000,1458 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.779769, -87.66163515)"
20-20-103-002-0000,1421 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.77926773, -87.66028656)"
20-20-301-024-0000,6747 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7708121, -87.66242124)"
20-20-325-027-0000,7024 S LAFLIN ST,4687,17,WEST ENGLEWOOD,RS-3,"(41.76598102, -87.66176878)"
20-20-310-010-0000,6825 S LAFLIN ST,3126,17,WEST ENGLEWOOD,RS-3,"(41.76964699, -87.66117461)"
20-19-410-040-0000,1848 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76873483, -87.67071425)"
20-20-224-034-0000,1151 W MARQUETTE RD,0,16,ENGLEWOOD,B3-1,"(41.77259852, -87.6539633)"
20-20-110-012-0000,6431 S LAFLIN ST,3100,16,WEST ENGLEWOOD,RS-3,"(41.77675031, -87.66136243)"
20-17-102-026-0000,5524 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79292812, -87.6612706)"
20-17-120-019-0000,5747 S LOOMIS BLVD,3125,16,WEST ENGLEWOOD,RS-3,"(41.7891079, -87.65925805)"
20-19-426-026-0000,7002 S HONORE ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76646515, -87.67028663)"
20-20-311-023-0000,6812 S LOOMIS BLVD,0,17,WEST ENGLEWOOD,RS-3,"(41.76987942, -87.65945084)"
20-17-102-036-0000,1457 W GARFIELD BLVD,0,16,WEST ENGLEWOOD,RT-4,"(41.79343251, -87.66188348)"
20-19-203-006-0000,1809 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77907945, -87.66955206)"
20-17-126-023-0000,5842 S BISHOP ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78734391, -87.66113864)"
20-18-110-019-0000,5606 S HOYNE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.79180334, -87.67682204)"
20-29-109-029-0000,1278 W 72ND ST,0,6,WEST ENGLEWOOD,RS-2,"(41.76345239, -87.65705642)"
20-18-401-038-0000,5936 S WOLCOTT AVE,2976,15,WEST ENGLEWOOD,RS-3,"(41.78554867, -87.67199904)"
20-17-111-037-0000,5636 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RS-3,"(41.79118861, -87.66001063)"
20-19-206-038-0000,6344 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77811176, -87.6658005)"
20-18-429-005-0000,6211 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78076672, -87.66754147)"
20-19-204-028-0000,6326 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77856072, -87.66822021)"
20-17-103-011-0000,5523 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79293587, -87.66057274)"
20-18-430-019-0000,6218 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78065206, -87.6658109)"
20-20-316-002-0000,1553 W 69TH ST,3125,16,WEST ENGLEWOOD,B3-3,"(41.76829517, -87.66353694)"
20-30-214-024-0000,7200 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-2,"(41.76295, -87.66533359)"
20-19-424-041-0000,7040 S WINCHESTER AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76541585, -87.67268914)"
20-20-400-012-0000,6727 S RACINE AVE,0,16,ENGLEWOOD,RS-3,"(41.77149102, -87.65394435)"
20-18-215-040-0000,5650 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79071196, -87.66489812)"
20-19-207-034-0000,1619 W 63RD ST,0,16,WEST ENGLEWOOD,C1-2,"(41.7790734, -87.66518291)"
20-29-119-006-0000,1267 W 72ND PL,0,6,WEST ENGLEWOOD,RS-2,"(41.76202567, -87.6566073)"
20-20-301-012-0000,6719 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77163554, -87.6624445)"
20-17-326-039-0000,1500 W 63RD ST,0,16,WEST ENGLEWOOD,B3-2,"(41.77976461, -87.66200547)"
20-19-326-004-0000,2116 W 69TH PL,0,17,WEST ENGLEWOOD,RS-2,"(41.76776055, -87.67685605)"
20-17-110-021-0000,1458 W 57TH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79065006, -87.66190121)"
20-18-227-002-0000,1823 W 58TH ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78825548, -87.67023214)"
20-18-215-042-0000,5656 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79054455, -87.66489391)"
20-17-122-019-0000,5749 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7890739, -87.65682684)"
20-17-102-009-0000,1435 W GARFIELD BLVD,0,16,WEST ENGLEWOOD,RT-4,"(41.79344506, -87.66110109)"
20-19-212-013-0000,6439 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77643286, -87.66867232)"
20-20-300-044-0000,6758 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77052178, -87.66310413)"
20-20-322-005-0000,6921 S THROOP ST,3125,6,WEST ENGLEWOOD,RS-3,"(41.76798535, -87.65627372)"
20-19-112-015-0000,6441 S HAMILTON AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.7762734, -87.67713848)"
20-18-215-034-0000,5632 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79119214, -87.66491002)"
20-20-117-002-0000,6603 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77382643, -87.66248959)"
20-19-206-033-0000,6330 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77845478, -87.66580988)"
20-17-304-023-0000,5947 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RS-3,"(41.78541756, -87.6591635)"
20-18-207-024-0000,5532 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79264221, -87.66494602)"
20-18-111-012-0000,5635 S HOYNE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.79103274, -87.67630905)"
20-18-225-035-0000,1902 W 59TH ST,0,15,WEST ENGLEWOOD,M1-1,"(41.78691462, -87.67197121)"
20-17-332-028-0000,1226 W 63RD ST,0,16,WEST ENGLEWOOD,C1-2,"(41.77985371, -87.65561061)"
20-18-402-040-0000,5942 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78536595, -87.6707818)"
20-18-222-028-0000,5712 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.7899047, -87.66604595)"
20-18-431-003-0000,6207 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.7809356, -87.66512615)"
20-17-126-006-0000,5813 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78813927, -87.66165694)"
20-18-406-018-0000,5933 S PAULINA ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78571809, -87.66645539)"
20-18-429-032-0000,6236 S PAULINA ST,0,15,WEST ENGLEWOOD,RS-3,"(41.7801365, -87.666806)"
20-19-401-018-0000,6735 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77103319, -87.67213617)"
20-18-403-040-0000,5946 S WOOD ST,2983,15,WEST ENGLEWOOD,RS-3,"(41.78531555, -87.66956805)"
20-17-302-002-0000,1445 W 59TH ST,0,16,WEST ENGLEWOOD,C1-1,"(41.7865328, -87.66135822)"
20-18-420-048-0000,6156 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78142569, -87.66825542)"
20-30-205-047-0000,7114 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-2,"(41.76436651, -87.66658513)"
20-18-403-033-0000,5930 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78577666, -87.66958014)"
20-18-407-016-0000,5942 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78551895, -87.66593409)"
20-18-112-018-0000,5602 S DAMEN AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.79189908, -87.67459863)"
20-19-204-004-0000,1751 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77909292, -87.66866777)"
20-17-316-028-0000,6128 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78221996, -87.6634221)"
20-19-410-008-0000,6819 S WOLCOTT AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76966878, -87.67088787)"
20-17-118-028-0000,5545 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79238782, -87.66055807)"
20-17-312-026-0000,6018 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78441222, -87.65862061)"
20-18-427-007-0000,6219 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78063243, -87.66995923)"
20-18-106-037-0000,2013 W GARFIELD BLVD,0,15,WEST ENGLEWOOD,B3-2,"(41.79328126, -87.67490856)"
20-29-109-003-0000,1275 W 71ST PL,0,6,WEST ENGLEWOOD,RS-2,"(41.76384203, -87.6569747)"
20-19-202-035-0000,6346 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77794288, -87.67061088)"
20-17-305-001-0000,1325 W 59TH ST,0,16,WEST ENGLEWOOD,C1-1,"(41.78657752, -87.65814488)"
20-17-109-043-0000,5654 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79057474, -87.6624134)"
20-17-424-033-0000,1152 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.7797219, -87.65419218)"
20-19-416-014-0000,6957 S DAMEN AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.766782, -87.67323715)"
20-29-129-030-0000,1274 W 74TH ST,0,17,WEST ENGLEWOOD,RS-2,"(41.75981676, -87.65687164)"
20-19-206-006-0000,1645 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77912653, -87.66608327)"
20-19-211-023-0000,6402 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77739084, -87.66939364)"
20-18-431-012-0000,6231 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.78031804, -87.66511055)"
20-20-101-014-0000,6329 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77864151, -87.66262541)"
20-29-132-060-0000,7420 S RACINE AVE,0,17,WEST ENGLEWOOD,B1-1,"(41.75889713, -87.65430897)"
20-17-320-031-0000,6116 S ADA ST,0,16,WEST ENGLEWOOD,RT-4,"(41.78262523, -87.65862325)"
20-19-207-004-0000,6321 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77873797, -87.66512373)"
20-19-204-027-0000,6324 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77862931, -87.66822214)"
20-17-314-030-0000,6026 S ELIZABETH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78423253, -87.65618718)"
20-17-307-035-0000,5938 S RACINE AVE,0,16,WEST ENGLEWOOD,C1-1,"(41.78575024, -87.65501127)"
20-17-305-002-0000,1321 W 59TH ST,0,16,WEST ENGLEWOOD,C1-1,"(41.78657901, -87.65803924)"
20-18-207-029-0000,5545 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.79236086, -87.66548687)"
20-19-204-002-0000,1755 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.7790905, -87.66884369)"
20-17-328-040-0000,1412 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.77979225, -87.65997445)"
20-18-214-017-0000,5643 S PAULINA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7908965, -87.66658764)"
20-19-414-034-0000,6844 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76904604, -87.66549723)"
20-20-323-001-0000,1223 W 69TH ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76841323, -87.65520906)"
20-20-313-030-0000,6830 S THROOP ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76952399, -87.6570144)"
20-20-316-040-0000,6950 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.76709422, -87.6630081)"
20-17-330-002-0000,6203 S ADA ST,3043,16,WEST ENGLEWOOD,RT-4,"(41.78110741, -87.65790783)"
20-18-425-031-0000,6234 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78007377, -87.67185343)"
20-19-413-039-0000,1714 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76877352, -87.66709892)"
20-17-316-021-0000,6139 S ASHLAND AVE,2802,16,WEST ENGLEWOOD,B3-2,"(41.78194008, -87.66389997)"
20-20-109-038-0000,6432 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7766723, -87.66205718)"
20-19-409-048-0000,6930 S WOLCOTT AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76933205, -87.67157747)"
20-19-400-034-0000,6730 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77116221, -87.67283594)"
20-19-204-006-0000,1745 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77909461, -87.66853579)"
20-18-403-041-0000,5948 S WOOD ST,2984,15,WEST ENGLEWOOD,RS-3,"(41.78524968, -87.66956632)"
20-17-320-043-0000,6146 S ADA ST,2906,16,WEST ENGLEWOOD,RT-4,"(41.78180182, -87.65860229)"
20-20-331-006-0000,7015 S ELIZABETH ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76632556, -87.65501522)"
20-19-430-029-0000,7024 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76590059, -87.66541164)"
20-20-314-004-0000,6809 S THROOP ST,3147,17,WEST ENGLEWOOD,RS-3,"(41.77015242, -87.65633272)"
20-18-412-023-0000,6010 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78448285, -87.66833425)"
20-17-329-026-0000,6220 S ADA ST,0,16,WEST ENGLEWOOD,RT-4,"(41.78061773, -87.65857217)"
20-19-200-011-0000,6327 S DAMEN AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77846728, -87.67353281)"
20-18-429-014-0000,6237 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78014916, -87.66752566)"
20-17-102-035-0000,1459 W GARFIELD BLVD,0,16,WEST ENGLEWOOD,RT-4,"(41.79343184, -87.66196902)"
20-17-129-006-0000,5815 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78813198, -87.65801677)"
20-17-116-011-0000,5725 S ASHLAND AVE,0,16,WEST ENGLEWOOD,PD 1142,"(41.78938075, -87.66407765)"
20-17-313-011-0000,6059 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78332557, -87.65789374)"
20-18-415-011-0000,6035 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78386449, -87.66539271)"
20-29-104-018-0000,1237 W 71ST ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76477155, -87.65562332)"
20-20-108-041-0000,6444 S JUSTINE ST,3101,16,WEST ENGLEWOOD,RS-3,"(41.77638158, -87.66325757)"
20-18-401-001-0000,1925 W 59TH ST,0,15,WEST ENGLEWOOD,C1-1,"(41.78638811, -87.67271687)"
20-18-414-028-0000,6030 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78396551, -87.6658948)"
20-30-224-007-0000,1625 W 74TH ST,0,17,WEST ENGLEWOOD,M2-2,"(41.75923071, -87.66537987)"
20-18-419-031-0000,6120 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78237432, -87.66949088)"
20-19-421-005-0000,1713 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76825053, -87.66699339)"
20-20-110-044-0000,6452 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77614, -87.66083143)"
20-20-102-039-0000,6344 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77818576, -87.66088751)"
20-19-421-040-0000,6944 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76716318, -87.66666057)"
20-17-129-013-0000,5842 S THROOP ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78752987, -87.65749997)"
20-18-226-034-0000,1844 W 59TH ST,0,15,WEST ENGLEWOOD,C2-1,"(41.78692856, -87.67083772)"
20-19-220-008-0000,6525 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77502481, -87.6686326)"
20-19-211-036-0000,6434 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77651423, -87.66936875)"
20-18-403-036-0000,5936 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78557904, -87.66957497)"
20-17-120-036-0000,5728 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78959551, -87.65875453)"
20-19-412-044-0000,1734 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76875953, -87.66840588)"
20-19-421-039-0000,6942 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76723176, -87.66666232)"
20-19-203-003-0000,1817 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.7790754, -87.6698392)"
20-19-204-005-0000,1745 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77909461, -87.66853579)"
20-18-426-019-0000,6206 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78095152, -87.67066504)"
20-20-303-023-0000,6747 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77084666, -87.65999338)"
20-20-111-026-0000,6406 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RT-4,"(41.77746621, -87.65965663)"
20-19-204-003-0000,1753 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77909177, -87.66875574)"
20-17-310-002-0000,6003 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78477259, -87.66157466)"
20-19-417-008-0000,6923 S WINCHESTER AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76771603, -87.67205032)"
20-19-421-010-0000,1701 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76825566, -87.66652077)"
20-17-315-018-0000,6043 S ELIZABETH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7837544, -87.65547659)"
20-19-411-003-0000,6807 S HONORE ST,3108,17,WEST ENGLEWOOD,RS-3,"(41.7700248, -87.66968225)"
20-20-102-040-0000,6348 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77811716, -87.66088546)"
20-18-400-028-0000,5916 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.78607033, -87.67322449)"
20-17-327-035-0000,1454 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.77977128, -87.66145181)"
20-19-400-032-0000,6724 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77129935, -87.67283933)"
20-17-122-003-0000,5709 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79017179, -87.65685581)"
20-19-316-015-0000,2021 W 68TH ST,0,16,WEST ENGLEWOOD,RS-2,"(41.76998634, -87.67456463)"
20-19-202-019-0000,6339 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77813129, -87.67112684)"
20-20-306-037-0000,6744 S ELIZABETH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.77100868, -87.65583934)"
20-29-126-023-0000,1452 W 74TH ST,0,17,WEST ENGLEWOOD,RS-2,"(41.75960049, -87.66089058)"
